region,year,driving_licenses,geo_point_2d_x,geo_point_2d_y,num_of_accidents,num_of_dead,num_of_injured
Al-Baha,1993,3270.0,20.1484058503,41.4665484892,,,
Al-Baha,1994,2729.0,20.1484058503,41.4665484892,,,
Al-Baha,1995,2423.0,20.1484058503,41.4665484892,,,
Al-Baha,1996,1468.0,20.1484058503,41.4665484892,,,
Al-Baha,1997,3027.0,20.1484058503,41.4665484892,,,
Al-Baha,1998,5110.0,20.1484058503,41.4665484892,,,
Al-Baha,1999,4246.0,20.1484058503,41.4665484892,,,
Al-Baha,2000,4832.0,20.1484058503,41.4665484892,,,
Al-Baha,2001,7594.0,20.1484058503,41.4665484892,,,
Al-Baha,2002,3335.0,20.1484058503,41.4665484892,,,
Al-Baha,2003,3616.0,20.1484058503,41.4665484892,,,
Al-Baha,2004,3410.0,20.1484058503,41.4665484892,,,
Al-Baha,2005,2698.0,20.1484058503,41.4665484892,,,
Al-Baha,2006,3593.0,20.1484058503,41.4665484892,,,
Al-Baha,2007,997.0,20.1484058503,41.4665484892,,,
Al-Baha,2008,5418.0,20.1484058503,41.4665484892,,,
Al-Baha,2009,9815.0,20.1484058503,41.4665484892,,,
Al-Baha,2010,7076.0,20.1484058503,41.4665484892,,,
Al-Baha,2011,6450.0,20.1484058503,41.4665484892,,,
Al-Baha,2012,7593.0,20.1484058503,41.4665484892,,,
Al-Baha,2013,7482.0,20.1484058503,41.4665484892,,,
Al-Baha,2014,7268.0,20.1484058503,41.4665484892,,,
Al-Baha,2015,4856.0,20.1484058503,41.4665484892,,,
Al-Baha,2016,4614.0,20.1484058503,41.4665484892,,,
Al-Baha,2017,4131.0,20.1484058503,41.4665484892,,,
Al-Jouf,1993,2884.0,29.967744576199998,39.5570371172,,,
Al-Jouf,1994,2535.0,29.967744576199998,39.5570371172,,,
Al-Jouf,1995,2270.0,29.967744576199998,39.5570371172,,,
Al-Jouf,1996,2518.0,29.967744576199998,39.5570371172,,,
Al-Jouf,1997,3565.0,29.967744576199998,39.5570371172,,,
Al-Jouf,1998,3476.0,29.967744576199998,39.5570371172,,,
Al-Jouf,1999,3950.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2000,4666.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2001,4756.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2002,5940.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2003,3852.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2004,4601.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2005,3558.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2006,4846.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2007,9097.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2008,10929.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2009,10567.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2010,10937.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2011,10180.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2012,10246.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2013,11602.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2014,9982.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2015,10233.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2016,9371.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2017,8091.0,29.967744576199998,39.5570371172,,,
Al-Qaseem,1993,73618.0,26.1967063704,43.3429998455,,,
Al-Qaseem,1994,68916.0,26.1967063704,43.3429998455,,,
Al-Qaseem,1995,49690.0,26.1967063704,43.3429998455,,,
Al-Qaseem,1996,42693.0,26.1967063704,43.3429998455,,,
Al-Qaseem,1997,10092.0,26.1967063704,43.3429998455,,,
Al-Qaseem,1998,11350.0,26.1967063704,43.3429998455,,,
Al-Qaseem,1999,9983.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2000,12226.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2001,14718.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2002,16298.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2003,10666.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2004,9390.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2005,10480.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2006,12142.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2007,25174.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2008,22236.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2009,27571.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2010,36737.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2011,10760.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2012,11421.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2013,17889.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2014,29113.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2015,13631.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2016,9180.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2017,6318.0,26.1967063704,43.3429998455,,,
Asir,1993,6226.0,19.1387847401,42.941470036,,,
Asir,1994,5185.0,19.1387847401,42.941470036,,,
Asir,1995,4889.0,19.1387847401,42.941470036,,,
Asir,1996,3319.0,19.1387847401,42.941470036,,,
Asir,1997,12204.0,19.1387847401,42.941470036,,,
Asir,1998,13220.0,19.1387847401,42.941470036,,,
Asir,1999,14625.0,19.1387847401,42.941470036,,,
Asir,2000,18622.0,19.1387847401,42.941470036,,,
Asir,2001,20321.0,19.1387847401,42.941470036,,,
Asir,2002,20417.0,19.1387847401,42.941470036,,,
Asir,2003,15693.0,19.1387847401,42.941470036,,,
Asir,2004,17947.0,19.1387847401,42.941470036,,,
Asir,2005,18565.0,19.1387847401,42.941470036,,,
Asir,2006,20330.0,19.1387847401,42.941470036,,,
Asir,2007,10835.0,19.1387847401,42.941470036,,,
Asir,2008,18800.0,19.1387847401,42.941470036,,,
Asir,2009,21582.0,19.1387847401,42.941470036,,,
Asir,2010,21835.0,19.1387847401,42.941470036,,,
Asir,2011,24515.0,19.1387847401,42.941470036,,,
Asir,2012,23136.0,19.1387847401,42.941470036,,,
Asir,2013,29730.0,19.1387847401,42.941470036,,,
Asir,2014,29552.0,19.1387847401,42.941470036,,,
Asir,2015,38567.0,19.1387847401,42.941470036,,,
Asir,2016,41367.0,19.1387847401,42.941470036,,,
Asir,2017,39133.0,19.1387847401,42.941470036,,,
Eastern Region,1993,9964.0,23.2883307307,50.1478302439,,,
Eastern Region,1994,10918.0,23.2883307307,50.1478302439,,,
Eastern Region,1995,7831.0,23.2883307307,50.1478302439,,,
Eastern Region,1996,8461.0,23.2883307307,50.1478302439,,,
Eastern Region,1997,58814.0,23.2883307307,50.1478302439,,,
Eastern Region,1998,70650.0,23.2883307307,50.1478302439,,,
Eastern Region,1999,64973.0,23.2883307307,50.1478302439,,,
Eastern Region,2000,65767.0,23.2883307307,50.1478302439,,,
Eastern Region,2001,74119.0,23.2883307307,50.1478302439,,,
Eastern Region,2002,85035.0,23.2883307307,50.1478302439,,,
Eastern Region,2003,82697.0,23.2883307307,50.1478302439,,,
Eastern Region,2004,84984.0,23.2883307307,50.1478302439,,,
Eastern Region,2005,82505.0,23.2883307307,50.1478302439,,,
Eastern Region,2006,79517.0,23.2883307307,50.1478302439,,,
Eastern Region,2007,106511.0,23.2883307307,50.1478302439,,,
Eastern Region,2008,104626.0,23.2883307307,50.1478302439,,,
Eastern Region,2009,108544.0,23.2883307307,50.1478302439,,,
Eastern Region,2010,110295.0,23.2883307307,50.1478302439,,,
Eastern Region,2011,151087.0,23.2883307307,50.1478302439,,,
Eastern Region,2012,129971.0,23.2883307307,50.1478302439,,,
Eastern Region,2013,123325.0,23.2883307307,50.1478302439,,,
Eastern Region,2014,121774.0,23.2883307307,50.1478302439,,,
Eastern Region,2015,135752.0,23.2883307307,50.1478302439,,,
Eastern Region,2016,142307.0,23.2883307307,50.1478302439,,,
Eastern Region,2017,126816.0,23.2883307307,50.1478302439,,,
Hail,1993,10484.0,27.400845724,41.4406960508,,,
Hail,1994,11131.0,27.400845724,41.4406960508,,,
Hail,1995,9735.0,27.400845724,41.4406960508,,,
Hail,1996,10267.0,27.400845724,41.4406960508,,,
Hail,1997,6606.0,27.400845724,41.4406960508,,,
Hail,1998,4708.0,27.400845724,41.4406960508,,,
Hail,1999,3139.0,27.400845724,41.4406960508,,,
Hail,2000,3215.0,27.400845724,41.4406960508,,,
Hail,2001,6077.0,27.400845724,41.4406960508,,,
Hail,2002,5070.0,27.400845724,41.4406960508,,,
Hail,2003,3861.0,27.400845724,41.4406960508,,,
Hail,2004,8656.0,27.400845724,41.4406960508,,,
Hail,2005,16247.0,27.400845724,41.4406960508,,,
Hail,2006,8166.0,27.400845724,41.4406960508,,,
Hail,2007,4021.0,27.400845724,41.4406960508,,,
Hail,2008,7413.0,27.400845724,41.4406960508,,,
Hail,2009,7282.0,27.400845724,41.4406960508,,,
Hail,2010,7637.0,27.400845724,41.4406960508,,,
Hail,2011,9123.0,27.400845724,41.4406960508,,,
Hail,2012,11082.0,27.400845724,41.4406960508,,,
Hail,2013,9731.0,27.400845724,41.4406960508,,,
Hail,2014,10417.0,27.400845724,41.4406960508,,,
Hail,2015,7172.0,27.400845724,41.4406960508,,,
Hail,2016,54507.0,27.400845724,41.4406960508,,,
Hail,2017,22035.0,27.400845724,41.4406960508,,,
Jazan,1993,6009.0,17.207231396199997,42.6525807422,,,
Jazan,1994,3826.0,17.207231396199997,42.6525807422,,,
Jazan,1995,2284.0,17.207231396199997,42.6525807422,,,
Jazan,1996,2226.0,17.207231396199997,42.6525807422,,,
Jazan,1997,5695.0,17.207231396199997,42.6525807422,,,
Jazan,1998,2613.0,17.207231396199997,42.6525807422,,,
Jazan,1999,4792.0,17.207231396199997,42.6525807422,,,
Jazan,2000,5678.0,17.207231396199997,42.6525807422,,,
Jazan,2001,10631.0,17.207231396199997,42.6525807422,,,
Jazan,2002,5254.0,17.207231396199997,42.6525807422,,,
Jazan,2003,5220.0,17.207231396199997,42.6525807422,,,
Jazan,2004,5016.0,17.207231396199997,42.6525807422,,,
Jazan,2005,5502.0,17.207231396199997,42.6525807422,,,
Jazan,2006,7955.0,17.207231396199997,42.6525807422,,,
Jazan,2007,12634.0,17.207231396199997,42.6525807422,,,
Jazan,2008,11346.0,17.207231396199997,42.6525807422,,,
Jazan,2009,9437.0,17.207231396199997,42.6525807422,,,
Jazan,2010,12270.0,17.207231396199997,42.6525807422,,,
Jazan,2011,10946.0,17.207231396199997,42.6525807422,,,
Jazan,2012,11156.0,17.207231396199997,42.6525807422,,,
Jazan,2013,14175.0,17.207231396199997,42.6525807422,,,
Jazan,2014,15621.0,17.207231396199997,42.6525807422,,,
Jazan,2015,13931.0,17.207231396199997,42.6525807422,,,
Jazan,2016,11504.0,17.207231396199997,42.6525807422,,,
Jazan,2017,18345.0,17.207231396199997,42.6525807422,,,
Madinah,1993,4122.0,24.927534539,39.4918237173,,,
Madinah,1994,3767.0,24.927534539,39.4918237173,,,
Madinah,1995,4155.0,24.927534539,39.4918237173,,,
Madinah,1996,3425.0,24.927534539,39.4918237173,,,
Madinah,1997,10495.0,24.927534539,39.4918237173,,,
Madinah,1998,13020.0,24.927534539,39.4918237173,,,
Madinah,1999,11108.0,24.927534539,39.4918237173,,,
Madinah,2000,9562.0,24.927534539,39.4918237173,,,
Madinah,2001,13561.0,24.927534539,39.4918237173,,,
Madinah,2002,10494.0,24.927534539,39.4918237173,,,
Madinah,2003,12920.0,24.927534539,39.4918237173,,,
Madinah,2004,10556.0,24.927534539,39.4918237173,,,
Madinah,2005,10210.0,24.927534539,39.4918237173,,,
Madinah,2006,11204.0,24.927534539,39.4918237173,,,
Madinah,2007,12174.0,24.927534539,39.4918237173,,,
Madinah,2008,9194.0,24.927534539,39.4918237173,,,
Madinah,2009,11574.0,24.927534539,39.4918237173,,,
Madinah,2010,15045.0,24.927534539,39.4918237173,,,
Madinah,2011,14630.0,24.927534539,39.4918237173,,,
Madinah,2012,14459.0,24.927534539,39.4918237173,,,
Madinah,2013,28513.0,24.927534539,39.4918237173,,,
Madinah,2014,31447.0,24.927534539,39.4918237173,,,
Madinah,2015,22744.0,24.927534539,39.4918237173,,,
Madinah,2016,24540.0,24.927534539,39.4918237173,,,
Madinah,2017,36165.0,24.927534539,39.4918237173,,,
Makkah,1993,65977.0,21.628962766,41.2636898334,,,
Makkah,1994,75349.0,21.628962766,41.2636898334,,,
Makkah,1995,60356.0,21.628962766,41.2636898334,,,
Makkah,1996,46195.0,21.628962766,41.2636898334,,,
Makkah,1997,76623.0,21.628962766,41.2636898334,,,
Makkah,1998,86082.0,21.628962766,41.2636898334,,,
Makkah,1999,103535.0,21.628962766,41.2636898334,,,
Makkah,2000,87053.0,21.628962766,41.2636898334,,,
Makkah,2001,85593.0,21.628962766,41.2636898334,,,
Makkah,2002,88593.0,21.628962766,41.2636898334,,,
Makkah,2003,74236.0,21.628962766,41.2636898334,,,
Makkah,2004,86636.0,21.628962766,41.2636898334,,,
Makkah,2005,65099.0,21.628962766,41.2636898334,,,
Makkah,2006,66967.0,21.628962766,41.2636898334,,,
Makkah,2007,91902.0,21.628962766,41.2636898334,,,
Makkah,2008,77013.0,21.628962766,41.2636898334,,,
Makkah,2009,112045.0,21.628962766,41.2636898334,,,
Makkah,2010,113531.0,21.628962766,41.2636898334,,,
Makkah,2011,110647.0,21.628962766,41.2636898334,,,
Makkah,2012,143954.0,21.628962766,41.2636898334,,,
Makkah,2013,131108.0,21.628962766,41.2636898334,,,
Makkah,2014,149234.0,21.628962766,41.2636898334,,,
Makkah,2015,157389.0,21.628962766,41.2636898334,,,
Makkah,2016,136055.0,21.628962766,41.2636898334,,,
Makkah,2017,142487.0,21.628962766,41.2636898334,,,
Najran,1993,3769.0,18.4511003068,46.868849572600006,,,
Najran,1994,3880.0,18.4511003068,46.868849572600006,,,
Najran,1995,3268.0,18.4511003068,46.868849572600006,,,
Najran,1996,3274.0,18.4511003068,46.868849572600006,,,
Najran,1997,3073.0,18.4511003068,46.868849572600006,,,
Najran,1998,4322.0,18.4511003068,46.868849572600006,,,
Najran,1999,3959.0,18.4511003068,46.868849572600006,,,
Najran,2000,4905.0,18.4511003068,46.868849572600006,,,
Najran,2001,4950.0,18.4511003068,46.868849572600006,,,
Najran,2002,5117.0,18.4511003068,46.868849572600006,,,
Najran,2003,4443.0,18.4511003068,46.868849572600006,,,
Najran,2004,4609.0,18.4511003068,46.868849572600006,,,
Najran,2005,4779.0,18.4511003068,46.868849572600006,,,
Najran,2006,5897.0,18.4511003068,46.868849572600006,,,
Najran,2007,7226.0,18.4511003068,46.868849572600006,,,
Najran,2008,7938.0,18.4511003068,46.868849572600006,,,
Najran,2009,6771.0,18.4511003068,46.868849572600006,,,
Najran,2010,6360.0,18.4511003068,46.868849572600006,,,
Najran,2011,7314.0,18.4511003068,46.868849572600006,,,
Najran,2012,9201.0,18.4511003068,46.868849572600006,,,
Najran,2013,8996.0,18.4511003068,46.868849572600006,,,
Najran,2014,9601.0,18.4511003068,46.868849572600006,,,
Najran,2015,1864.0,18.4511003068,46.868849572600006,,,
Najran,2016,2153.0,18.4511003068,46.868849572600006,,,
Najran,2017,13825.0,18.4511003068,46.868849572600006,,,
Northern Boarder,1993,1510.0,30.197074783,41.8171186952,,,
Northern Boarder,1994,1457.0,30.197074783,41.8171186952,,,
Northern Boarder,1995,1318.0,30.197074783,41.8171186952,,,
Northern Boarder,1996,1383.0,30.197074783,41.8171186952,,,
Northern Boarder,1997,1531.0,30.197074783,41.8171186952,,,
Northern Boarder,1998,2014.0,30.197074783,41.8171186952,,,
Northern Boarder,1999,2311.0,30.197074783,41.8171186952,,,
Northern Boarder,2000,2894.0,30.197074783,41.8171186952,,,
Northern Boarder,2001,2971.0,30.197074783,41.8171186952,,,
Northern Boarder,2002,2268.0,30.197074783,41.8171186952,,,
Northern Boarder,2003,1705.0,30.197074783,41.8171186952,,,
Northern Boarder,2004,1922.0,30.197074783,41.8171186952,,,
Northern Boarder,2005,1804.0,30.197074783,41.8171186952,,,
Northern Boarder,2006,2573.0,30.197074783,41.8171186952,,,
Northern Boarder,2007,3479.0,30.197074783,41.8171186952,,,
Northern Boarder,2008,3519.0,30.197074783,41.8171186952,,,
Northern Boarder,2009,3649.0,30.197074783,41.8171186952,,,
Northern Boarder,2010,3064.0,30.197074783,41.8171186952,,,
Northern Boarder,2011,4314.0,30.197074783,41.8171186952,,,
Northern Boarder,2012,3706.0,30.197074783,41.8171186952,,,
Northern Boarder,2013,3921.0,30.197074783,41.8171186952,,,
Northern Boarder,2014,5009.0,30.197074783,41.8171186952,,,
Northern Boarder,2015,3837.0,30.197074783,41.8171186952,,,
Northern Boarder,2016,4958.0,30.197074783,41.8171186952,,,
Northern Boarder,2017,5280.0,30.197074783,41.8171186952,,,
Riyadh,1993,103886.0,23.0814341634,45.5857512766,,,
Riyadh,1994,110545.0,23.0814341634,45.5857512766,,,
Riyadh,1995,101608.0,23.0814341634,45.5857512766,,,
Riyadh,1996,110131.0,23.0814341634,45.5857512766,,,
Riyadh,1997,92145.0,23.0814341634,45.5857512766,,,
Riyadh,1998,114962.0,23.0814341634,45.5857512766,,,
Riyadh,1999,100291.0,23.0814341634,45.5857512766,,,
Riyadh,2000,45345.0,23.0814341634,45.5857512766,,,
Riyadh,2001,13090.0,23.0814341634,45.5857512766,,,
Riyadh,2002,25423.0,23.0814341634,45.5857512766,,,
Riyadh,2003,26076.0,23.0814341634,45.5857512766,,,
Riyadh,2004,23479.0,23.0814341634,45.5857512766,,,
Riyadh,2005,23245.0,23.0814341634,45.5857512766,,,
Riyadh,2006,36059.0,23.0814341634,45.5857512766,,,
Riyadh,2007,36261.0,23.0814341634,45.5857512766,,,
Riyadh,2008,36798.0,23.0814341634,45.5857512766,,,
Riyadh,2009,38014.0,23.0814341634,45.5857512766,,,
Riyadh,2010,31378.0,23.0814341634,45.5857512766,,,
Riyadh,2011,27772.0,23.0814341634,45.5857512766,,,
Riyadh,2012,23888.0,23.0814341634,45.5857512766,,,
Riyadh,2013,165994.0,23.0814341634,45.5857512766,,,
Riyadh,2014,194208.0,23.0814341634,45.5857512766,,,
Riyadh,2015,24548.0,23.0814341634,45.5857512766,,,
Riyadh,2016,242851.0,23.0814341634,45.5857512766,,,
Riyadh,2017,495307.0,23.0814341634,45.5857512766,,,
Tabouk,1993,3174.0,27.90165499,37.2598581394,,,
Tabouk,1994,3282.0,27.90165499,37.2598581394,,,
Tabouk,1995,2051.0,27.90165499,37.2598581394,,,
Tabouk,1996,2263.0,27.90165499,37.2598581394,,,
Tabouk,1997,5426.0,27.90165499,37.2598581394,,,
Tabouk,1998,6823.0,27.90165499,37.2598581394,,,
Tabouk,1999,5298.0,27.90165499,37.2598581394,,,
Tabouk,2000,8473.0,27.90165499,37.2598581394,,,
Tabouk,2001,6344.0,27.90165499,37.2598581394,,,
Tabouk,2002,8794.0,27.90165499,37.2598581394,,,
Tabouk,2003,9873.0,27.90165499,37.2598581394,,,
Tabouk,2004,7532.0,27.90165499,37.2598581394,,,
Tabouk,2005,6511.0,27.90165499,37.2598581394,,,
Tabouk,2006,8259.0,27.90165499,37.2598581394,,,
Tabouk,2007,11045.0,27.90165499,37.2598581394,,,
Tabouk,2008,14928.0,27.90165499,37.2598581394,,,
Tabouk,2009,9424.0,27.90165499,37.2598581394,,,
Tabouk,2010,10345.0,27.90165499,37.2598581394,,,
Tabouk,2011,12820.0,27.90165499,37.2598581394,,,
Tabouk,2012,11391.0,27.90165499,37.2598581394,,,
Tabouk,2013,12848.0,27.90165499,37.2598581394,,,
Tabouk,2014,12188.0,27.90165499,37.2598581394,,,
Tabouk,2015,915.0,27.90165499,37.2598581394,,,
Tabouk,2016,13610.0,27.90165499,37.2598581394,,,
Tabouk,2017,10232.0,27.90165499,37.2598581394,,,
Al-Baha,2016,,20.1484058503,41.4665484892,3618.0,185.0,1227.0
Al-Baha,2017,,20.1484058503,41.4665484892,1414.0,134.0,1007.0
Al-Jouf,2016,,29.967744576199998,39.5570371172,10212.0,245.0,920.0
Al-Jouf,2017,,29.967744576199998,39.5570371172,10469.0,240.0,862.0
Asir,2016,,19.1387847401,42.941470036,32684.0,983.0,2541.0
Asir,2017,,19.1387847401,42.941470036,25245.0,828.0,2368.0
Eastern Region,2016,,23.2883307307,50.1478302439,101619.0,1113.0,4893.0
Eastern Region,2017,,23.2883307307,50.1478302439,81433.0,963.0,4073.0
Hail,2016,,27.400845724,41.4406960508,10199.0,299.0,932.0
Hail,2017,,27.400845724,41.4406960508,9379.0,265.0,773.0
Jazan,2016,,17.207231396199997,42.6525807422,25873.0,514.0,2259.0
Jazan,2017,,17.207231396199997,42.6525807422,22161.0,466.0,2207.0
Madinah,2016,,24.927534539,39.4918237173,14475.0,822.0,4184.0
Madinah,2017,,24.927534539,39.4918237173,16070.0,580.0,2917.0
Makkah,2016,,21.628962766,41.2636898334,134838.0,2243.0,12383.0
Makkah,2017,,21.628962766,41.2636898334,145541.0,1641.0,10623.0
Najran,2016,,18.4511003068,46.868849572600006,3235.0,173.0,706.0
Najran,2017,,18.4511003068,46.868849572600006,3193.0,194.0,766.0
Northern Boarder,2016,,30.197074783,41.8171186952,13196.0,193.0,631.0
Northern Boarder,2017,,30.197074783,41.8171186952,11540.0,112.0,374.0
Al-Qaseem,2016,,26.1967063704,43.3429998455,25664.0,397.0,1513.0
Al-Qaseem,2017,,26.1967063704,43.3429998455,22405.0,319.0,1446.0
Riyadh,2016,,23.0814341634,45.5857512766,141736.0,1430.0,4207.0
Riyadh,2017,,23.0814341634,45.5857512766,99925.0,1399.0,4540.0
Tabouk,2016,,27.90165499,37.2598581394,16031.0,434.0,1724.0
Tabouk,2017,,27.90165499,37.2598581394,11713.0,348.0,1243.0
